wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
84,71,13,0.845238095,66,7,6.164078287,6.202004596,4.492957746,61,0.083333333,54.54,8,327680.071,0,0,0.6942772,0.001760879,0.43071118,0.321477801,0.8624347,0
154,94,60,0.61038961,87,11,6.758925996,6.900855885,4.117021277,356,0.071428571,46.55,15,255117.474,1.948051948,4034.93,0.66667265,0.002917878,0.42375347,0.328761905,0.8738284,0
176,64,112,0.363636364,57,11,5.997731826,6.131816735,3.546875,143,0.0625,6.07,3,90050.386,5.113636364,2116.672,0.64946437,0.002526445,0.482376873,0.35001713,0.88487446,0
111,58,53,0.522522523,55,9,6.319951645,6.401211848,3.74137931,34,0.081081081,59.08,6,652810.518,5.405405405,435.53,0.69296825,0.003484861,0.39383623,0.333219886,0.8745469,0
189,99,90,0.523809524,88,10,6.729392841,6.800225609,3.888888889,145,0.052910053,101.355,9,224195.252,3.174603175,383976.606,0.5228918,0.001950827,0.40728122,0.313120097,0.8688463,0
142,74,68,0.521126761,68,10,6.568421388,6.747070338,4,148,0.070422535,4.895,7,825936.638,2.816901408,239.711,0.64457345,0.002579967,0.396683902,0.317869335,0.87440574,0
177,79,98,0.446327684,70,10,6.540258678,6.71978254,3.82278481,184,0.056497175,8.61,7,286905.237,3.95480226,70941.14,0.54562926,0.00194496,0.407586783,0.2995857,0.87502444,0
260,128,132,0.492307692,107,10,7.140902402,7.221536523,4.4453125,534,0.038461538,141.06,12,1564281.377,3.461538462,19598.859,0.56158316,0.002798325,0.40420714,0.306827486,0.866328,0
88,60,28,0.681818182,53,9,6.10375068,6.208184667,3.683333333,52,0.102272727,3.62,3,152903.116,1.136363636,892.857,0.6972505,0.002134563,0.466011107,0.413519531,0.8679694,0
122,102,20,0.836065574,91,12,6.829979869,6.873557262,4.362745098,103,0.098360656,6.995,23,2731205.41,0.819672131,61.728,0.63507706,0.0025257,0.31043461,0.313338518,0.8618391,0
