DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,avg_word_similarity_hebrew,word_similarity_large,MappedStyle
42,8,5.754887502,5.727920455,31.005,5,1341465.95,0,0,0.496118814,0.85871935,1
51,9,6.058051077,6.06608919,45.24,4,251849.934,0,0,0.482569039,0.859363,1
23,6,4.98418372,5.234120168,24.315,5,985873.464,0,0,0.400488466,0.8681139,1
37,7,5.50150536,5.623516641,8.95,3,196888.312,0,0,0.391460121,0.866087,1
50,9,6.048329342,6.14974712,41.15,4,220199.381,0,0,0.52104485,0.87129515,1
51,9,6.028639312,6.06608919,39,5,198742.404,1.449275362,2688.172,0.455149084,0.8712014,1
46,8,5.848744744,5.857980995,36,5,1296716.788,0,0,0.488842487,0.8594563,1
67,11,6.455543129,6.491853096,12.86,10,1245158.888,0,0,0.476390988,0.86036074,1
66,10,6.480083695,6.485816618,54.09,3,204554.831,1.075268817,467.29,0.498841614,0.86496,1
56,7,6.221611724,6.22881869,46.97,8,582042.774,2.597402597,90.386,0.494314671,0.86456203,1
41,7,5.807354922,5.781359714,37.64,15,2422999.145,0,0,0.344776958,0.86108613,1
59,9,6.037071063,6.129283017,37.805,1,113828.783,0,0,0.450416178,0.8656174,1
49,8,5.727920455,5.700439718,32.5,5,298341.213,0,0,0.555183411,0.8629154,1
40,8,5.614709844,5.584962501,25.26,1,125526.131,0,0,0.386055142,0.8693133,1
29,6,5.02587247,5.164497779,7.765,7,254043.733,0,0,0.453497827,0.86522484,1
50,8,6.10375068,6.184928854,45.84,5,355248.098,3.409090909,9915.107,0.417667627,0.8693174,1
13,7,4.085055103,4.32385619,17.495,0,126888.31,3.703703704,104.712,0.491576225,0.8744196,1
42,6,5.715197026,5.972350369,36.615,3,116090.239,2.941176471,2210.717,0.499848932,0.8771073,1
59,9,6.202152024,6.209453366,48.34,5,948065.767,0,0,0.450038195,0.8638352,1
64,9,6.436605434,6.441860574,51.265,10,625354.98,0,0,0.455572277,0.8651413,1
33,9,5.239877609,5.689422846,41.335,1,232968.493,4,1120.836,0.4724181,0.8827914,1
33,7,5.643691846,5.840223929,29.565,14,1768272.679,1.612903226,49.02,0.325097322,0.86315554,1
79,11,6.801988651,6.806256857,5.17,8,313489.624,0.847457627,7407.407,0.459860682,0.86524016,1
38,8,5.543295834,5.554588852,29.36,2,1087014.884,0,0,0.589163482,0.86803836,1
56,9,6.169925001,6.14974712,43.905,5,1320567.72,0,0,0.554215074,0.8663443,1
49,7,5.840223929,5.848744744,20.98,10,2650996.979,0,0,0.500323057,0.86655015,1
46,8,5.806983198,5.90625,40.145,1,87670.881,0,0,0.531060755,0.8681895,1
47,8,6.07953895,6.087462841,3.96,5,1212978.707,0,0,0.423694581,0.8669499,1
47,9,5.850295797,5.857422117,35.45,8,1610804.621,0,0,0.520737231,0.8671381,1
45,7,5.910992253,5.976536952,43.475,9,1121395.836,1.449275362,12019.231,0.572565138,0.8696438,1
49,8,5.983173381,6.030915917,10.44,20,2526264.734,1.136363636,15479876.16,0.396279454,0.862612,2
65,9,6.320546298,6.3671158,7.925,20,2463163.598,1.052631579,1512.859,0.42101711,0.8581596,2
47,8,6.087545908,6.24095326,62.7,16,1447483.096,0,0,0.409843266,0.8577598,2
31,8,4.90196869,5.048394346,43.3,5,790403.258,0,0,0.355665892,0.86240137,2
36,9,5.426264755,5.392317423,17.495,8,1239645.577,0,0,0.362834156,0.86550575,2
52,11,6.124964424,6.269962389,59.875,10,2681001.371,2.083333333,31339.713,0.397201121,0.8628475,2
66,9,6.385350102,6.512613586,29.3,28,1020507.205,0.869565217,1349527.665,0.406181216,0.8617037,2
47,11,5.806890596,5.882643049,30.7,4,422687.21,0,0,0.439463854,0.8702691,3
67,9,6.788909766,6.951244628,9.255,8,406913.789,3.100775194,160.227,0.420144647,0.8739697,3
50,10,6.087303843,6.239021013,48.34,3,469968.392,2.173913043,55.374,0.437449396,0.8766462,3
82,9,6.852924766,7.066262972,9.2,6,185606.497,1.796407186,3387.312,0.393941343,0.86919117,3
54,7,6.007970072,6.187817671,64.37,6,495114.075,2.912621359,2440.571,0.450268179,0.8730398,3
48,9,5.701841232,5.724437022,46.615,3,665170.803,1.176470588,35460.993,0.410448939,0.86416143,3
35,7,5.393127173,5.447408652,18.665,1,54527.006,0,0,0.344964564,0.87460434,3
49,10,6.008902049,6.043568731,21.365,5,1183167.42,1.388888889,398.406,0.476421714,0.86641926,3
60,10,6.242729702,6.374638224,62.35,8,830421.686,3.361344538,544.142,0.421507388,0.8650072,3
70,10,6.396966484,6.403008941,55.425,13,762691.628,0,0,0.415039182,0.86280453,3
18,5,4.546593564,4.56385619,13.7,0,44179.226,0,0,0.465696484,0.865077,3
43,8,5.573893518,5.584962501,24.95,2,331861.262,0,0,0.371292323,0.8701295,3
51,8,5.976829066,6.17182975,4.515,7,696732.797,3.614457831,20880.184,0.444544524,0.8634985,3
35,11,5.585055103,5.633209656,24.465,2,212795.869,0,0,0.364197373,0.8765279,3
69,10,6.54556644,6.590090467,36.04,6,300616.651,0.869565217,131.752,0.426821828,0.87097704,3
7,6,3.521928095,3.826874882,5.2,2,175731.959,4.761904762,288.184,0.669738293,0.9058229,3
52,9,6.050208139,6.175577227,11.115,2,90326.801,6.015037594,1168.391,0.428666949,0.88148814,3
53,10,5.826851456,5.987178252,68.265,5,148975.256,5.925925926,748.414,0.413367927,0.8799213,3
43,10,5.757520286,5.93716643,70.14,2,53598.277,6.569343066,7410.019,0.424911946,0.8811576,3
56,10,6.307998252,6.637871502,60.76,3,62585.176,4.87804878,1076.199,0.41738221,0.8868089,3
109,11,7.269449229,7.374223021,28.465,9,385834.734,3.139013453,1775.764,0.306095243,0.87278104,3
45,10,5.848744744,5.857980995,37.01,4,222168.935,0,0,0.351604044,0.87314796,3
16,8,4.169925001,4.087462841,7.6,0,6721.179,0,0,0.629771888,0.87947696,3
43,8,5.58881869,5.749993906,29.91,10,1581883.557,3.947368421,9674.352,0.443970472,0.86613524,3
62,9,6.616348566,6.695358382,83.695,5,1047256.407,3.267973856,2485.31,0.454499424,0.8808428,3
63,10,6.261243235,6.34090197,48.475,4,277894.722,0,0,0.464894295,0.87449455,3
69,10,6.545996125,6.696202371,8.385,5,1073378.491,1.666666667,2670.157,0.407165378,0.8630316,3
84,9,6.899114684,7.100955153,76.115,6,832859.505,1.307189542,363.818,0.308768719,0.8711201,3
99,14,7.103452393,7.209934532,45.11,8,1124635.738,4.142011834,654.19,0.418050706,0.8756387,3
68,9,6.341443614,6.39790453,50.285,9,904881.041,1.075268817,49.02,0.422853768,0.8695535,3
23,5,5.014997303,5.028639312,0.8,3,349118.79,0,0,0.660836339,0.8821648,3
69,8,6.212204056,6.586034487,5.27,6,998769.76,2.419354839,13944.369,0.396533698,0.8755546,3
70,9,6.435543439,6.562791916,41.045,8,1085472.016,2.976190476,8183.984,0.388599932,0.86911535,3
78,10,6.722805608,6.754530556,77.2,9,171098.051,2.962962963,305.378,0.288846672,0.8637778,3
64,8,6.4730694,6.671905622,5.18,3,187662.014,1.739130435,1333.326,0.404163599,0.877995,3
58,10,6.083025815,6.144942442,26.885,3,175538.173,1.075268817,53.763,0.486320943,0.86754364,3
42,8,5.896928095,5.949350368,55.14,4,339389.845,1.234567901,490.196,0.427132964,0.86105686,3
19,8,4.56610894,4.754887502,13.3,0,11807.099,0,0,0.467025429,0.87663335,3
58,9,6.124408236,6.203874462,62.68,4,175628.022,2.702702703,3250.928,0.411709875,0.86855966,3
46,10,6.108948567,6.2270856,29.165,6,146684.939,3.47826087,258.896,0.401205033,0.8741024,3
47,7,5.909522442,6.122937375,10.06,0,47627.546,7.194244604,12623.081,0.439067602,0.8753039,3
62,9,6.256222341,6.295197899,59.895,3,574318.035,1.869158879,284.217,0.415948004,0.865564,3
50,9,5.982723955,6.039239028,5.11,4,1178742.862,3.409090909,5098.588,0.42122519,0.8749019,3
60,10,6.041060653,6.157197091,40.145,5,465069.073,0,0,0.459023088,0.8684893,3
15,7,4.707714803,4.852168724,8.4,3,152585.994,2.777777778,4672.897,0.645287275,0.88931507,3
58,8,6.214838489,6.247927513,47.57,4,245200.128,0,0,0.422308356,0.86834425,3
